자치구명,행정동,행정동코드,1인가구비율,사회적_고립도,평일_재택률,휴일_재택률,배달_의존도,이동_취약성_거리,이동_취약성_횟수,휴일_활동성,경제적_취약성,거주_불안정성,게임_이용,금융_이용,쇼핑_이용,배달브랜드_이용,배달식재료_이용,영상_서비스_이용,대중교통_이용,출퇴근_부담,근무_강도,종합_취약도
중랑구,망우본동,11260114,42,66,82,52,56,48,71,38,39,54,30,52,1,25,39,2,25,27,55,42.3
중랑구,면목2동,11260102,42,71,78,68,66,60,71,31,35,44,30,56,1,36,56,1,24,22,43,43.9
중랑구,면목3·8동,11260103,39,69,77,63,71,55,64,31,25,56,23,47,1,24,58,1,25,31,39,42.1
중랑구,면목4동,11260104,35,72,64,45,75,61,67,35,22,56,31,55,1,56,59,1,27,26,35,43.3
중랑구,면목5동,11260105,44,73,67,47,41,60,67,37,24,60,42,62,1,75,77,2,26,46,37,46.7
중랑구,면목7동,11260106,37,67,76,52,49,54,65,34,26,56,23,53,1,36,31,1,28,24,47,40.0
중랑구,면목본동,11260101,40,84,88,70,47,63,71,38,39,49,28,55,1,8,33,1,27,20,41,42.3
중랑구,묵1동,11260112,23,64,77,61,64,50,65,42,15,45,42,49,1,10,24,1,30,16,22,36.9
중랑구,묵2동,11260113,37,68,70,42,60,55,58,36,27,52,34,55,1,28,44,1,19,22,35,39.2
중랑구,상봉1동,11260108,35,76,78,59,58,46,59,40,30,56,23,41,1,35,71,1,21,28,46,42.3
중랑구,상봉2동,11260109,46,71,81,59,85,50,64,32,36,56,16,54,1,50,60,1,20,27,31,44.2
중랑구,신내1동,11260116,25,68,70,33,40,46,52,39,16,56,33,46,1,23,17,1,18,33,52,35.2
중랑구,신내2동,11260117,42,76,89,53,28,51,69,40,19,56,29,53,1,36,34,1,26,29,49,41.1
